Component,Bugs,Features,Total
Menu,16,5,21
Combobox,7,5,12
DataGrid,4,6,10
Tree,9,0,9
Popover,7,2,9
Nav,8,1,9
Dialog,5,2,7
Dropdown,4,3,7
Tooltip,4,1,5
Table,4,1,5
Virtualizer,4,0,4
TagPicker,3,1,4
TeachingPopover,4,0,4
Toolbar,3,1,4
MessageBar,3,0,3
Skeleton,2,1,3
Calendar Compat,3,0,3
DatePicker,0,2,2
List,2,0,2
Accordion,2,0,2
Tabs,2,0,2
Switch,2,0,2
Portal,2,0,2
FluentProvider,0,2,2
Slider,0,2,2
Drawer,2,0,2
Spinner,0,1,1
Card,1,0,1
InfoLabel,1,0,1
Image,0,1,1
Popup,1,0,1
Checkbox,1,0,1
Input,0,1,1
FocusTrapZone,1,0,1
SplitButton,1,0,1
AvatarGroup,1,0,1
MenuItem,1,0,1
Label,1,0,1
DatePickerCompat,0,1,1
Button,0,1,1
Toast,1,0,1
Carousel,1,0,1
Avatar,1,0,1
Badge,1,0,1
ColorPicker,0,0,0
Pickers,0,0,0
SpinButton,0,0,0
Rating,0,0,0
Tag,0,0,0
Calendar,0,0,0
Coachmark,0,0,0
Keytip,0,0,0
Segment,0,0,0
