Component,Bugs,Features,Total
InfoButton,1,0,1
Textarea,1,0,1
SwatchPicker,0,1,1
Tooltip,0,1,1
InfoLabel,1,0,1
Avatar,1,0,1
Carousel,1,0,1
Accordion,1,0,1
SplitButton,1,0,1
Image,0,1,1
Card,1,0,1
DatePicker,0,1,1
Divider,0,1,1
Field,0,1,1
MenuItem,1,0,1
Modal,0,1,1
TabList,1,1,2
Toast,0,2,2
Input,2,0,2
Calendar Compat,0,2,2
Spinner,1,1,2
Slider,0,2,2
Toolbar,2,0,2
TimePickerCompat,1,1,2
Switch,2,0,2
Tag,3,0,3
Table,1,2,3
Drawer,2,1,3
SearchBox,3,0,3
TeachingPopover,3,0,3
List,2,2,4
Virtualizer,2,2,4
Tabs,2,2,4
FluentProvider,0,4,4
Skeleton,4,1,5
MessageBar,5,1,6
DatePickerCompat,5,1,6
Nav,3,5,8
TagPicker,5,3,8
DataGrid,3,6,9
Dialog,6,3,9
Dropdown,7,3,10
Combobox,5,6,11
Tree,8,3,11
Popover,9,3,12
Menu,9,7,16
